PI,Sprint,Team,Project,Committed,Delivered,Delpct
20-3,2020-17,Polaris,CAT Angular Migration,63,63,100
20-3,2020-17,FiniteLoop,Catalyst Portal,64,46,72
20-3,2020-17,Performix,Console,39,31,79
20-3,2020-17,Vega,Course player (HTML5) - On Kanban project for Angular Upgrade,18,18,100
20-3,2020-17,DataTycoons,Analytics,15,15,100
20-3,2020-17,Mavericks,LCEC,24,24,100
20-3,2020-17,Titans,Certification Manager,28,23,82
20-3,2020-17,Avengers,Campaign Manager,23,18,78
20-3,2020-16,Polaris,CAT Angular Migration,60,52,87
20-3,2020-16,FiniteLoop,Catalyst Portal,55,39,71
20-3,2020-16,Performix,Console,68,68,100
20-3,2020-16,Vega,Course player (HTML5) - On Kanban project for Angular Upgrade,4,4,100
20-3,2020-16,DataTycoons,Analytics,15,15,100
20-3,2020-16,Mavericks,LCEC,24,24,100
20-3,2020-16,Titans,Certification Manager,28,28,100
20-3,2020-16,Avengers,Campaign Manager,16,16,100
20-3,2020-15,Polaris,CAT Angular Migration,57,57,100
20-3,2020-15,FiniteLoop,Catalyst Portal,64,56,88
20-3,2020-15,Performix,Console,58,32,55
20-3,2020-15,Vega,Course player (HTML5) - On Kanban project for Angular Upgrade,5,5,100
20-3,2020-15,DataTycoons,Analytics,26,26,100
20-3,2020-15,Mavericks,LCEC,20,12,60
20-3,2020-15,Titans,Certification Manager,31,31,100
20-3,2020-15,Avengers,Campaign Manager,17,17,100
20-3,2020-14,Polaris,CAT Angular Migration,42,42,100
20-3,2020-14,FiniteLoop,Catalyst Portal,57,39,68
20-3,2020-14,Performix,Console,32,19,59
20-3,2020-14,Vega,Course player (HTML5),0,0,0
20-3,2020-14,DataTycoons,Analytics,16,16,100
20-3,2020-14,Mavericks,LCEC,18,18,100
20-3,2020-14,Titans,Certification Manager,29,24,83
20-3,2020-14,Avengers,Campaign Manager,21,21,100
20-3,2020-13,Polaris,CAT Angular Migration,55,55,100
20-3,2020-13,FiniteLoop,Catalyst Portal,48,48,100
20-3,2020-13,Performix,Console,41,41,100
20-3,2020-13,Vega,Course player (HTML5),25,17,68
20-3,2020-13,DataTycoons,Analytics,16,16,100
20-3,2020-13,Mavericks,LCEC,13,13,100
20-3,2020-13,Titans,Certification Manager,45,45,100
20-3,2020-13,Avengers,Campaign Manager,22,22,100
20-2,2020-11,Polaris,CAT Angular Migration,56,48,86
20-2,2020-11,FiniteLoop,Catalyst Portal,54,54,100
20-2,2020-11,Gladiators,Catalyst Communication,23,23,100
20-2,2020-11,Performix,Console,45,29,64
20-2,2020-11,Vega,Course player (HTML5),37,29,78
20-2,2020-11,DataTycoons,Analytics,25,25,100
20-2,2020-11,Mavericks,LCEC,24,24,100
20-2,2020-11,Titans,Certification Manager,33,28,85
20-2,2020-11,Avengers,Campaign Manager,16,16,100
20-2,2020-10,Polaris,CAT Angular Migration,57,49,86
20-2,2020-10,FiniteLoop,Catalyst Portal,47,47,100
20-2,2020-10,Gladiators,Catalyst Communication,25,20,80
20-2,2020-10,Performix,Console,56,56,100
20-2,2020-10,Vega,Course player (HTML5),32,32,100
20-2,2020-10,DataTycoons,Analytics,24,11,46
20-2,2020-10,Mavericks,LCEC,24,24,100
20-2,2020-10,Titans,Certification Manager,37,37,100
20-2,2020-10,Avengers,Campaign Manager,20,20,100
20-2,2020-09,Polaris,CAT Angular Migration,50,50,100
20-2,2020-09,FiniteLoop,Catalyst Portal,52,47,90
20-2,2020-09,Gladiators,Catalyst Communication,26,26,100
20-2,2020-09,Performix,Console,47,34,72
20-2,2020-09,Vega,Course player (HTML5),31,31,100
20-2,2020-09,DataTycoons,Analytics,19,11,58
20-2,2020-09,Mavericks,LCEC,30,22,73
20-2,2020-09,Titans,Certification Manager,36,31,86
20-2,2020-09,Avengers,Campaign Manager,18,15,83
20-2,2020-08,Polaris,CAT Angular Migration,51,51,100
20-2,2020-08,FiniteLoop,Catalyst Portal,55,42,76
