PI,Sprint,Team,Project,Committed,Delivered,Delpct
21-2,2021-07,Polaris,CAT Angular Migration,38,38,100
21-2,2021-07,FiniteLoop,Catalyst Portal,39,39,100
21-2,2021-07,Performix,Console,27,19,70
21-2,2021-07,Vega,Course player (HTML5),13,13,100
21-2,2021-07,DataTycoons,Analytics Dashboard,13,13,100
21-2,2021-07,Mavericks,LCEC,21,21,100
21-2,2021-07,Titans,Certification Manager,29,29,100
21-2,2021-07,Avengers,Campaign Manager ,26,26,100
21-2,2021-07,NightRiders,Catalyst Connect,29,29,100
21-2,2021-07,Sky,CG - Catalyst integration,16,8,50
21-2,2021-07,CCL,Catalyst Course Launcher ,20,20,100
21-2,2021-08,Polaris,CAT Angular Migration,38,30,79
21-2,2021-08,FiniteLoop,Catalyst Portal,57,52,91
21-2,2021-08,Performix,Console,42,42,100
21-2,2021-08,Vega,Course player (HTML5),3,3,100
21-2,2021-08,DataTycoons,Analytics Dashboard,11,11,100
21-2,2021-08,Mavericks,LCEC,26,26,100
21-2,2021-08,Titans,Certification Manager,29,29,100
21-2,2021-08,Avengers,Campaign Manager ,27,14,52
21-2,2021-08,NightRiders,Catalyst Connect,37,37,100
21-2,2021-08,Sky,CG - Catalyst integration,29,21,72
21-2,2021-08,CCL,Catalyst Course Launcher ,32,32,100
21-2,2021-09,Polaris,CAT Angular Migration,34,26,76
21-2,2021-09,FiniteLoop,Catalyst Portal,39,36,92
21-2,2021-09,Performix,Console,40,40,100
21-2,2021-09,Vega,Course player (HTML5),9,9,100
21-2,2021-09,DataTycoons,Analytics Dashboard,10,10,100
21-2,2021-09,Mavericks,LCEC,31,31,100
21-2,2021-09,Titans,Certification Manager,29,29,100
21-2,2021-09,Avengers,Campaign Manager ,44,44,100
21-2,2021-09,NightRiders,Catalyst Connect,22,14,64
21-2,2021-09,Sky,CG - Catalyst integration,29,26,90
21-2,2021-09,CCL,Catalyst Course Launcher ,27,27,100
21-2,2021-10,Polaris,CAT Angular Migration,32,24,75
21-2,2021-10,FiniteLoop,Catalyst Portal,50,47,94
21-2,2021-10,Performix,Console,37,37,100
21-2,2021-10,Vega,Course player (HTML5),5,5,100
21-2,2021-10,DataTycoons,Analytics Dashboard,11,11,100
21-2,2021-10,Mavericks,LCEC,21,21,100
21-2,2021-10,Titans,Certification Manager,28,28,100
21-2,2021-10,Avengers,Campaign Manager ,28,28,100
21-2,2021-10,NightRiders,Catalyst Connect,29,29,100
21-2,2021-10,Sky,CG - Catalyst integration,31,31,100
21-2,2021-10,CCL,Catalyst Course Launcher ,0,0,0
21-2,2021-11,Polaris,CAT Angular Migration,35,35,100
21-2,2021-11,FiniteLoop,Catalyst Portal,55,55,100
21-2,2021-11,Performix,Console,47,47,100
21-2,2021-11,Vega,Course player (HTML5),0,0,0
21-2,2021-11,DataTycoons,Analytics Dashboard,21,21,100
21-2,2021-11,Mavericks,LCEC,32,32,100
21-2,2021-11,Titans,Certification Manager,28,23,82
21-2,2021-11,Avengers,Campaign Manager ,25,25,100
21-2,2021-11,NightRiders,Catalyst Connect,29,29,100
21-2,2021-11,Sky,CG - Catalyst integration,17,17,100
21-2,2021-11,CCL,Catalyst Course Launcher ,21,16,76
21-1,2021-05,Polaris,CAT Angular Migration,37,37,100
21-1,2021-05,FiniteLoop,Catalyst Portal,48,42,88
21-1,2021-05,Performix,Console,31,31,100
21-1,2021-05,Vega,Course player (HTML5),24,24,100
21-1,2021-05,DataTycoons,Analytics Dashboard,14,14,100
21-1,2021-05,Mavericks,LCEC,16,11,69
21-1,2021-05,Titans,Certification Manager,32,24,75
21-1,2021-05,Avengers,Campaign Manager ,29,21,72
21-1,2021-05,NightRiders,Catalyst Connect,32,32,100
21-1,2021-05,Sky,CG - Catalyst integration,13,13,100
21-1,2021-04,Polaris,CAT Angular Migration,31,31,100
